show_id,type,title,country,genre,release_year,description
s1,Movie,The Tomorrow War,United States,"Action, Sci-Fi",2021,A man is drafted to fight a future war where humanity is losing.
s2,TV Show,Mirzapur,India,"Action, Crime",2018,A gritty crime drama set in the lawless city of Mirzapur.
s3,Movie,Sherlock Holmes,United Kingdom,"Mystery, Crime",2009,Detective Sherlock Holmes investigates a series of crimes.
s4,Movie,Inception,United States,"Sci-Fi, Thriller",2010,A thief enters people’s dreams to steal information.
s5,TV Show,The Family Man,India,"Action, Drama",2019,A middle-class man secretly works as an intelligence officer.
s6,Movie,Parasite,South Korea,"Thriller, Drama",2019,A poor family infiltrates a wealthy household.
s7,Movie,Interstellar,United States,"Sci-Fi, Adventure",2014,A team travels through a wormhole to save humanity.
s8,TV Show,The Boys,United States,"Action, Superhero",2019,A group fights against corrupt superheroes.
s9,Movie,Joker,United States,"Drama, Thriller",2019,A mentally unstable man becomes the infamous Joker.
s10,Movie,KGF Chapter 1,India,"Action, Drama",2018,A man rises from poverty to power in the gold mines.
s11,TV Show,Made in Heaven,India,"Drama, Romance",2019,Wedding planners navigate elite Indian society.
s12,Movie,1917,United Kingdom,"War, Drama",2019,Two soldiers race to deliver a message that will save lives.
s13,Movie,Avengers: Endgame,United States,"Action, Superhero",2019,The Avengers attempt to undo the damage caused by Thanos.
s14,TV Show,Vikings,Canada,"Historical, Action",2013,Legendary Viking Ragnar Lothbrok rises to power.
s15,Movie,La La Land,United States,"Musical, Romance",2016,An aspiring actress and musician fall in love.
s16,TV Show,The Office,United States,Comedy,2005,A comedic take on office workers at Dunder Mifflin.
s17,Movie,Dangal,India,"Sport, Drama",2016,A father trains his daughters to become wrestlers.
s18,TV Show,Stranger Things,United States,"Sci-Fi, Horror",2016,Kids uncover supernatural mysteries in their town.
s19,Movie,Coco,United States,"Animation, Family",2017,A boy travels to the Land of the Dead to discover his heritage.
s20,Movie,The Big Sick,United States,"Romance, Comedy",2017,A comedian navigates love and cultural differences.
s21,TV Show,Dark,Germany,"Sci-Fi, Thriller",2017,Families uncover a time-travel conspiracy.
s22,Movie,The Revenant,United States,"Adventure, Drama",2015,A frontiersman survives a bear attack and seeks revenge.
s23,TV Show,Paatal Lok,India,"Crime, Thriller",2020,A cop’s life changes after a dangerous case.
s24,Movie,Arrival,United States,"Sci-Fi, Drama",2016,A linguist communicates with alien species.
s25,TV Show,Jack Ryan,United States,"Action, Spy",2018,A CIA analyst uncovers global conspiracies.
